Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@firmanhidayat8270,"​@@yankqpusmeonkmerdeka bagi yg kaya dan berkuasa, bagi babu corporate ya tetep dijajah sebagai budak 😅",2024-08-03T06:19:29Z,3,
@ketombabah5379,@@TempoVideoChannel skor ahir 0-0 sama sama saling simpan dan sandera kebusukan masing masing,2024-08-03T06:19:35Z,1,
@BudiSupriyanto-r9q,Sudah saatnya FIRAUN YG RAKUS KEKUASAAN ini dilawan dan disingkirkan dari bumi Pertiwi.,2024-08-03T06:20:18Z,10,
@sejukanhati7971,"Di daerah kami umir ga lebih dari 3 jutay.sedangkan harga-harga ga beda jauh dgn wilyah lain misal harga  masako,garam,migor,ikan asin dll.(sembako)belum lagi bbm,listrik sama harga dgn wilayah lain pun juga bunga bank emok..             ,​@@SaepudinSaepudin-d8g",2024-08-03T06:20:36Z,1,
@Udet572,​@@lucunyabukanmain6743hukum kita trlalu baik hati bro,2024-08-03T06:22:21Z,0,
@kuwatsumarsono6849,"​@@nandobelly5256
Itu kata loe jugakan..?
Bisa apa gibran dan kaesang bocah ingusan..?",2024-08-03T06:22:49Z,11,
@MadurRaja-qg7gn,GO vs 1,2024-08-03T06:23:00Z,0,
@kuwatsumarsono6849,"​@@agusrukmi5697
Mata loe picek jika pdip tetap partai terbesar.",2024-08-03T06:23:20Z,8,
@RastoMpet,11-12,2024-08-03T06:24:35Z,1,
@Alan-tn6qq,"@@firmanhidayat8270 astafirullah al azim jangan begitu bro. 
Jangan sombong dulu ingat apa yang kamu buat akan berbuah.",2024-08-03T06:24:36Z,0,
@yunitarsini1041,​@@heroes6665 Aamiiin udah gregetan liat jokowi .......,2024-08-03T06:24:49Z,6,
@MrACTAVIS,"2 0 jokowi. Tapi kayanya kartu truf pdip belum dikeluarin, nggu wiwi lengser 😂",2024-08-03T06:26:56Z,6,
@firmanhidayat8270,"@@kuwatsumarsono6849 kehancurannya sudah dimulai... terbesar tapi suara turun, presiden kalah, bentar lagi pilkada kalah banyak, ujungnya tahun 2029 PDIP akan kalah dgn Gerinda Krn Prabowo incumben presiden.. (waktu akan mewujudkan) dan itu akan terjadi",2024-08-03T06:27:26Z,1,
@sabargaess4489,"Aku sebagai penonton yg netral, jd berpikir hrs punya rasa terimakasih sm orang yg SDH membantu kita",2024-08-03T06:27:58Z,2,
@LucyHandini-m5x,​@@yankqpusmeonksdh dijajah lagi.,2024-08-03T06:30:21Z,0,
@firmanhidayat8270,"@@MrACTAVIS kuncinya di Prabowo, jika Prabowo pilih gabung gank Jokowi...Mega koek, tapi jika Prabowo ganti dukung Mega...genk Jokowi yg keok",2024-08-03T06:30:48Z,4,
@junaersih,@@TempoVideoChannel gw pegang Bu'mega,2024-08-03T06:33:08Z,4,
@firmanhidayat8270,"@@sabargaess4489 betul jika itu masalah privat Jokowi -mega, tapi ini masalah politik kekuasaan negara, Jokowi yg didukung mayoritas rakyat saat ini gak suka omongan Mega, la itu yg dijadikan Jokowi untuk menghantam Mega jika tak mau setujui program Jokowi. Kita sebagai orang luar, lihat aja...Krn tak guna juga keduanya bagi saya..Krn mereka yg dapat kuasa, kita cuma dpt berita",2024-08-03T06:33:32Z,3,
@tantopuc5701,@@charis7515 subang jabar kandang nanteng ambruk,2024-08-03T06:35:25Z,2,
@tutymaryati5016,"Menurut Rocky Gerung yang saya tonton di ILC ...
""PDIP bukan didirikan oleh Megawati..
Tapi Kelahiran PDIP adalah KEHENDAK SEJARAH.., KELAHIRAN PDIP MEMICU KELAHIRAN REFORMASI..
Jadi KEBERADAAN PDIP dan Megawati SELAMANYA diBACK UP oleh SEJARAH..
Sedangkan Jokowi  setelah 20 Oktober .. akan kembali sebagai.... (tonton saja di bagian penutup ILC, saat Rocky Gerung berbicara )",2024-08-03T06:36:02Z,8,
@hpbosokchannel4594,"​@@nandobelly5256Gibran ban serep bisa apa,emang mampu lawan Prabowo ngimpi",2024-08-03T06:37:00Z,5,
@hpbosokchannel4594,​@@agusrukmi5697kata siapa terus yg paling unggul siapa selain pdip,2024-08-03T06:38:11Z,2,
@user-sr3cm2qx3h,"Semangat kuliti semuanya supaya terang benderang, biar tampak belangnya semuanya",2024-08-03T06:40:09Z,1,
@aguswk90,​@@lucunyabukanmain6743setuju untuk ngejar pendapatan negara kendaraan hrs diansuransikan...ngejar cukai rokok rakyat pindah ke rokok murah karena mahalnya harga rokok....sdngkan utang makin bertambah seiring jatuhnya nilai mata uang kita...,2024-08-03T06:42:14Z,0,
@firmanhidayat8270,"@@tutymaryati5016 PDIP didirikan Megawati dan simpatisan PDI pro Mega yg dikucilkan oleh pak Harto, yg bukan didirikan oleh Mega itu PDI ! PDI didirikan oleh golongan marhaen dari PNI (partai Soekarno) yg digabungkan dgn beberapa partai nasionalis dan kristen di jaman orba)",2024-08-03T06:44:15Z,2,
@firmanhidayat8270,"@@tutymaryati5016 omongan Rocky itu terlalu filsafat, kita komen berita, kebetulan waktu PDI Perjuangan itu dibentuk di tahun 1998 pasca turunnya pres Soeharto, aku ikut demo (baru masuk 1 SMA)",2024-08-03T06:46:13Z,1,
@ulisitorus1267,Semua ada batasnya sehebat apapun manusia. Gak ada yg abadi. Gak usah berlebihan memuji sesorang.​@@nandobelly5256,2024-08-03T06:46:59Z,0,
@idabaguswisnawa8781,Ayo Bu Airin jadikan menteri saja,2024-08-03T06:54:18Z,0,
@wayoflife5641,Jokowi 0 - 10 Megawati,2024-08-03T06:54:30Z,4,
@laaroiba8227,Podo malinge,2024-08-03T06:55:44Z,0,
@achmadfauzi-jl4po,tim gibah ...,2024-08-03T06:58:33Z,0,
@mashurimashuri2929,Susah di prediksi,2024-08-03T07:00:50Z,0,
@supriatikno6244,Namanya penghianat tdk ada yg abadi...​@@nandobelly5256,2024-08-03T07:02:13Z,0,
@romigunawan8286,Gue dukung Megawati ❤,2024-08-03T07:05:48Z,3,
@firmanhidayat8270,@@JokoSumbing-nc6pj bangun dinasti Prabowo 😅,2024-08-03T07:07:01Z,0,
@ulisitorus1267,​@@nandobelly5256suharto yg begitu otoriter aja bisa jatuh hartanya 7 turunan gak habis.,2024-08-03T07:07:46Z,1,
@KimGrim-gi3tc,​@@heroes6665 naaah blm tentu juga prabowo ga khianat. Bahkan jkw skarang ga punya partai. Si golkar yg koar2 mulu mau jadiin jokowi kadernya aja cm koar2. Paling jg pas udah lengser ga dianggap. Inilah politik sqljng berkhianat itu biasa..,2024-08-03T07:09:35Z,2,
@gurunsinai2231,"Jokowi 100 mega 1,6",2024-08-03T07:10:44Z,0,
@DewiLestari-r1y,​@@MohammadAthoillahdzulqarnain🤟🤟🤟,2024-08-03T07:15:33Z,1,
@alkawahyudin702,Kelihatan tanduk banteng nya kalau PDIP menyala seperti ini🔥🔥😁,2024-08-03T07:16:50Z,3,
@DewiLestari-r1y,"​@@Dhanaputra-tv, kamu bocil atau mmng buta politik?
Sampai hari ini Mega - SBY tdk pernah ada kompromi",2024-08-03T07:16:50Z,0,
@DewiLestari-r1y,"​@@Alan-tn6qq, 3 - 0
PDIP tetap 3 Jokowi setelah Oktober 0 😂😂😂",2024-08-03T07:19:01Z,4,
@Dhanaputra-tv,@@DewiLestari-r1yapa anda buta? Dibalik layar beda cerita bro...,2024-08-03T07:20:37Z,0,
@DewiLestari-r1y,"​@@agusrukmi5697, kita buktikan 🤟🤟🤟",2024-08-03T07:23:48Z,1,
@Alan-tn6qq,@@DewiLestari-r1y betul dan thank you atas supportnya,2024-08-03T07:26:20Z,1,
@yestinmaso6605,Tempo dibaca dan didengar amerika ga,2024-08-03T07:27:33Z,0,
@cumadi-cb8sx,TAMAK kekuasaan,2024-08-03T07:27:42Z,2,
@sinkecil13,"CUMA GIMMICK DOANG !!!
👎👎👎",2024-08-03T07:28:52Z,0,
