Name,Comment,Time,Likes,Reply Count
Name,Comment,Time,Likes,Reply Count
@rafiraihan5360,"Ditanyain kenapa gak kuliah ilmu politik, malah komunikasi, itu bisa lu jawab ""ini dulu deh om Ded"", giliran politiknya jabatan kok malah  di-iyain",2024-10-10T11:20:05Z,0,0
@khalilzulhadipradani8832,Ganggu ketawa munafik lo,2024-10-10T10:32:12Z,0,0
@ItsukaHimawan,😅😅😅knp ya modelan artis2 kaya gini rata2 kl bilang MENGABDIKAN DIRI UNTUK NEGARA pasti lewat jalur partai knp ga lewat jalur militer wkwkwk hampir ga pernah ada,2024-10-10T09:01:44Z,0,0
@AlorDompu,saya tau orang yang membunuh kak Marissa istri nya ikang Fauzi,2024-10-10T07:11:51Z,0,0
@returo7297,"bukan hand pick, lebih terpatnya cherry pick-----------------------------------------------------------
PERTAMAX !

It's just one of those days when you don't wanna wake up
Everything is fucked, everybody sucks
You don't really know why, but you wanna justify
Rippin' someone's head off
No human contact, and if you interact
Your life is on contract
Your best bet is to stay away, motherfucker!
It's just one of those days

I feel like shit
My suggestion is to keep your distance
'Cause right now I'm dangerous
We've all felt like shit and been treated like shit
All those motherfuckers that want to step up

It's all about the he says/she says bullshit
I think you better quit lettin' shit slip
Or you'll be leavin' with a fat lip
It's all about the he says/she says bullshit
I think you better quit talkin' that shit

SUARA RAKYAT MASi MENUNGGU . . . kabar jujur-bersih-bajik hubungan RAKYAT dengan . . . KURSi-milik-NYA

PanJOL PreJeezYaiksNoh selama ini kacing KarteL MALyana  juga ud nerima duit dari PARENA dan PaLoAh RepoCirteL serta ikut memperdagangkan pengaruh namanya! Periksa-Penjarakan-Miskinkan mereka! kwe PANCOuNG dan miskinkan Merina GUNOinette bermewahedon dengan pamer roti impor HUTANG NEGARA JEBOL NERACA dimasa HARGA BERAS LAGi MAHAL di pasar beras internasional lagi langka akibat ditutupnya keran expor global kemarau panjang! KiTA TiDYAK TAKOT KROCiRTELGARK!

soalnya anes pas yg lain lagi sibukerja nyari calonan dia malah liburan di madrid ibukota asing, tidak respek yg lain lagi kerja keras doi malai sibuk foya2 si katana paleng kismin tokang otang? saham bir bukana ga sungguh2maksimal upaya ditutup mala publikasi nyalahin dprd, ya now ga ad lokal yg mo dukung la  . . . dirinya ngeluh tidak ingin video ngeles pribumi dipotong2 sementara pembiaran membiarkan lawan2nya untuk dipotong2 tidak mencegah-melarang-mengingatkan . . . jahat-batil-tidak adil bundir blunder falacy borkr

PETiSi CABUT BEASiSWA MEWAHEDON UPENN Merica Gundoinette! SiPALiNG PAMER ROTiMPOR KONSER-FASHiON JET HEDON! REVOKE UPENN FREEUD SCHOLARSHiP FOR DYNASTY-CiRTEL! BUKAN JALUR PRESTASi/AKADEMiK NYATUT HAK-JATAHNYA JALUR ORANG MiSKiN, FRAUD ENROLL/APPLiCANT DOCUS! PERNAH DiTOLAK DiQNAS DWi-KEWARGANEGARAAN ASENG! PiSANGNYA MALA UMBAR JANJi BAGi2 JET PRiBADi!

REJiM SiPiL DOANK DiGEBUKi!? REJiM LAEN MANA? TEBANG PiLiA MEDiPERS!?

bagi orang baik melakukan keburukan sekecil apapun itu sangat menyakitkan, bagi orang jahat melakukan kebajikan sungguhan itu sangat menderita
---------------------------------------------------------",2024-10-10T06:49:17Z,1,0
@agustians7060,aduh ga paham kenapa bisa kepilih,2024-10-10T05:52:43Z,0,0
@AlorDompu,"kakak Marissa istri nya ikang Fauji .bukan mati karena tidur ,karena di bunuh ,saya tau tersangka pembunuh nya",2024-10-10T04:32:54Z,0,0
@andihandika5267,Makannya cel kalo mau ngejilat kira2 disuruh ngapain aja mau setidaknya mikir dulu,2024-10-10T02:52:48Z,0,0
@dzakyalfarizky4019,Malas gue liat. Nii orang. Litlupacang katanya trus lanjitpen,2024-10-09T19:40:10Z,0,0
@zedialkhafi,ketawa garing gaada yang lucu,2024-10-09T18:17:38Z,0,0
@lentanesia,ngomong uwopo le leee. gausah aneh aneh awakmu iku,2024-10-09T17:49:55Z,0,0
@AlorDompu,presiden baru di R.I adalah bang JON KEY,2024-10-09T11:37:59Z,0,0
@AlorDompu,"BIN terbaik dunia adalah bang bjorka,BINJEN terbaik dunia adalah Agnes monica",2024-10-09T11:36:03Z,0,0
@papiracinggg,"munafik ni orang bermuka dua, orang kaya gini kalo ngga menjilat ngga makan",2024-10-09T03:50:07Z,3,0
@juseon_drunkffx2020,ketawa nya bikin sakit kuping,2024-10-09T03:26:17Z,0,0
